suite,scenario,scenario_file,seed,mode,planner,heuristic_weight,allocator,coordination_variant,makespan,total_path_length,avg_task_completion_time,wait_count,collision_count,replanning_count,general_replanning_count,micro_replanning_count,completed_tasks,total_tasks,task_completion_times,throughput,fairness_task_std,fairness_task_cv,tasks_completed_per_robot,congestion_heatmap,planner_expanded_nodes_total,planner_time_ms_total,planner_path_cost_total,delay_event_count,dynamic_block_replans
main,narrow_corridor_swap,narrow_corridor_swap.json,17,baseline,astar,1.0,greedy,independent,119,11,3.0,349,112,0,0,0,1,3,{'T3': 3},0.0084,0.4714,1.4142,"{'R1': 0, 'R2': 0, 'R3': 1}","{'4,1': 1, '5,1': 1, '1,2': 1, '2,2': 1, '3,2': 1, '4,2': 117, '5,2': 118, '6,2': 1, '7,2': 1, '8,2': 1, '5,3': 117}",1595,17.896,1186,0,0
main,narrow_corridor_swap,narrow_corridor_swap.json,17,baseline_priority,astar,1.0,greedy,priority_static,11,23,7.667,10,0,33,33,0,3,3,"{'T1': 9, 'T2': 11, 'T3': 3}",0.2727,0.0,0.0,"{'R1': 1, 'R2': 1, 'R3': 1}","{'4,1': 1, '5,1': 2, '0,2': 1, '1,2': 2, '2,2': 2, '3,2': 2, '4,2': 2, '5,2': 4, '6,2': 2, '7,2': 2, '8,2': 2, '9,2': 3, '5,3': 8}",192,3.56,117,0,0
main,narrow_corridor_swap,narrow_corridor_swap.json,17,coordinated,astar,1.0,greedy,full,11,23,7.667,10,0,33,33,0,3,3,"{'T1': 11, 'T2': 9, 'T3': 3}",0.2727,0.0,0.0,"{'R1': 1, 'R2': 1, 'R3': 1}","{'4,1': 2, '5,1': 2, '0,2': 3, '1,2': 2, '2,2': 2, '3,2': 2, '4,2': 2, '5,2': 3, '6,2': 2, '7,2': 2, '8,2': 2, '9,2': 1, '5,3': 8}",192,2.856,117,0,0
main,intersection_4way_crossing,intersection_4way_crossing.json,19,baseline,astar,1.0,greedy,independent,119,12,0.0,468,678,0,0,0,0,4,{},0.0,0.0,0.0,"{'R1': 0, 'R2': 0, 'R3': 0, 'R4': 0}","{'4,1': 1, '4,2': 1, '4,3': 118, '1,4': 1, '2,4': 1, '3,4': 118, '5,4': 118, '6,4': 1, '7,4': 1, '4,5': 118, '4,6': 1, '4,7': 1}",3204,39.98,2344,0,0
main,intersection_4way_crossing,intersection_4way_crossing.json,19,baseline_priority,astar,1.0,greedy,priority_static,10,36,9.25,4,0,40,40,0,4,4,"{'T1': 8, 'T2': 10, 'T3': 9, 'T4': 10}",0.4,0.0,0.0,"{'R1': 1, 'R2': 1, 'R3': 1, 'R4': 1}","{'4,0': 1, '4,1': 2, '4,2': 2, '3,3': 1, '4,3': 4, '5,3': 1, '0,4': 1, '1,4': 2, '2,4': 2, '3,4': 3, '4,4': 3, '5,4': 2, '6,4': 2, '7,4': 2, '8,4': 3, '3,5': 1, '4,5': 2, '4,6': 2, '4,7': 2, '4,8': 2}",302,3.89,191,0,0
main,intersection_4way_crossing,intersection_4way_crossing.json,19,coordinated,astar,1.0,greedy,full,10,36,9.25,4,0,40,40,0,4,4,"{'T1': 9, 'T2': 10, 'T3': 10, 'T4': 8}",0.4,0.0,0.0,"{'R1': 1, 'R2': 1, 'R3': 1, 'R4': 1}","{'4,0': 3, '4,1': 2, '4,2': 2, '4,3': 2, '5,3': 1, '0,4': 1, '1,4': 2, '2,4': 2, '3,4': 3, '4,4': 3, '5,4': 3, '6,4': 2, '7,4': 2, '8,4': 2, '4,5': 3, '5,5': 2, '4,6': 2, '4,7': 2, '4,8': 1}",302,4.003,191,0,0
main,bottleneck_shelves,bottleneck_shelves.json,23,baseline,astar,1.0,greedy,independent,219,53,0.0,1047,619,0,0,0,0,8,{},0.0,0.0,0.0,"{'R1': 0, 'R2': 0, 'R3': 0, 'R4': 0, 'R5': 0}","{'2,0': 1, '3,0': 1, '4,0': 1, '5,0': 1, '6,0': 208, '7,0': 208, '8,0': 1, '9,0': 1, '10,0': 1, '11,0': 1, '12,0': 1, '0,1': 1, '1,1': 1, '2,1': 1, '12,1': 1, '13,1': 1, '0,2': 1, '13,2': 1, '0,3': 1, '2,3': 1, '3,3': 213, '4,3': 223, '5,3': 198, '6,3': 2, '7,3': 1, '8,3': 1, '9,3': 1, '10,3': 1, '11,3': 1, '12,3': 1, '13,3': 1, '0,4': 1, '2,4': 1, '6,4': 1, '12,4': 1, '13,4': 1, '0,5': 1, '1,5': 1, '2,5': 2, '6,5': 1, '12,5': 1, '13,5': 1, '0,6': 1, '2,6': 1, '6,6': 1, '12,6': 1, '13,6': 1, '2,7': 1, '6,7': 2, '10,7': 1, '11,7': 1, '12,7': 1}",14265,128.73,7049,0,0
main,bottleneck_shelves,bottleneck_shelves.json,23,baseline_priority,astar,1.0,greedy,priority_static,219,130,21.714,970,0,1100,1100,0,7,8,"{'T1': 20, 'T2': 27, 'T3': 18, 'T4': 19, 'T5': 18, 'T6': 26, 'T8': 24}",0.032,0.4899,0.3499,"{'R1': 2, 'R2': 1, 'R3': 2, 'R4': 1, 'R5': 1}","{'2,0': 3, '3,0': 2, '4,0': 2, '5,0': 2, '6,0': 2, '7,0': 2, '8,0': 3, '9,0': 2, '10,0': 2, '11,0': 2, '12,0': 2, '0,1': 1, '1,1': 196, '2,1': 5, '8,1': 3, '12,1': 2, '13,1': 1, '0,2': 1, '1,2': 1, '2,2': 194, '4,2': 1, '12,2': 196, '13,2': 1, '0,3': 1, '1,3': 1, '2,3': 196, '3,3': 4, '4,3': 5, '5,3': 4, '6,3': 4, '7,3': 3, '8,3': 194, '9,3': 4, '10,3': 3, '11,3': 5, '12,3': 5, '13,3': 1, '0,4': 1, '1,4': 1, '2,4': 1, '6,4': 1, '12,4': 4, '13,4': 1, '0,5': 1, '1,5': 2, '2,5': 3, '6,5': 1, '12,5': 3, '13,5': 1, '0,6': 1, '2,6': 2, '6,6': 1, '12,6': 2, '13,6': 1, '2,7': 2, '3,7': 1, '4,7': 1, '5,7': 1, '6,7': 3, '7,7': 1, '8,7': 1, '9,7': 1, '10,7': 2, '11,7': 2, '12,7': 2}",5411,68.295,2603,0,0
main,bottleneck_shelves,bottleneck_shelves.json,23,coordinated,astar,1.0,greedy,full,36,137,23.25,43,0,182,180,2,8,8,"{'T1': 22, 'T2': 20, 'T3': 18, 'T4': 19, 'T5': 18, 'T6': 33, 'T7': 32, 'T8': 24}",0.2222,0.4899,0.3062,"{'R1': 1, 'R2': 2, 'R3': 2, 'R4': 1, 'R5': 2}","{'2,0': 2, '3,0': 2, '4,0': 2, '5,0': 2, '6,0': 3, '7,0': 2, '8,0': 2, '9,0': 2, '10,0': 2, '11,0': 2, '12,0': 2, '0,1': 1, '1,1': 2, '2,1': 3, '6,1': 1, '12,1': 16, '13,1': 1, '0,2': 1, '2,2': 1, '4,2': 1, '6,2': 1, '8,2': 3, '12,2': 1, '13,2': 1, '0,3': 1, '2,3': 5, '3,3': 5, '4,3': 6, '5,3': 5, '6,3': 8, '7,3': 6, '8,3': 9, '9,3': 5, '10,3': 5, '11,3': 4, '12,3': 5, '13,3': 1, '0,4': 1, '2,4': 1, '6,4': 1, '12,4': 4, '13,4': 1, '0,5': 1, '1,5': 18, '2,5': 3, '6,5': 1, '12,5': 3, '13,5': 1, '0,6': 1, '2,6': 2, '6,6': 1, '12,6': 2, '13,6': 1, '2,7': 2, '3,7': 1, '4,7': 1, '5,7': 1, '6,7': 3, '7,7': 1, '8,7': 1, '9,7': 1, '10,7': 2, '11,7': 2, '12,7': 2}",1634,21.831,800,0,0
main,high_load_6r_30t,high_load_6r_30t.json,29,baseline,astar,1.0,greedy,independent,449,202,41.0,2498,1996,0,0,0,5,30,"{'T10': 57, 'T2': 31, 'T5': 18, 'T6': 25, 'T9': 74}",0.0111,1.0672,1.2806,"{'R1': 0, 'R2': 0, 'R3': 1, 'R4': 1, 'R5': 0, 'R6': 3}","{'0,0': 1, '1,0': 1, '2,0': 1, '3,0': 1, '4,0': 1, '5,0': 1, '6,0': 1, '7,0': 1, '8,0': 1, '9,0': 1, '10,0': 1, '11,0': 1, '12,0': 1, '13,0': 1, '14,0': 1, '15,0': 1, '0,1': 2, '1,1': 1, '2,1': 1, '3,1': 1, '14,1': 1, '15,1': 2, '0,2': 2, '3,2': 1, '4,2': 1, '5,2': 1, '6,2': 1, '7,2': 1, '8,2': 1, '9,2': 1, '10,2': 1, '11,2': 1, '12,2': 1, '13,2': 429, '14,2': 1, '15,2': 2, '0,3': 2, '13,3': 429, '14,3': 1, '15,3': 2, '0,4': 2, '13,4': 373, '14,4': 1, '15,4': 2, '0,5': 3, '1,5': 1, '2,5': 2, '3,5': 3, '4,5': 3, '5,5': 3, '6,5': 2, '7,5': 2, '8,5': 2, '9,5': 3, '10,5': 3, '11,5': 3, '12,5': 3, '13,5': 3, '14,5': 1, '15,5': 2, '0,6': 3, '5,6': 1, '9,6': 1, '13,6': 1, '14,6': 1, '15,6': 2, '0,7': 3, '1,7': 1, '2,7': 1, '3,7': 1, '4,7': 1, '5,7': 2, '6,7': 1, '7,7': 433, '8,7': 8, '9,7': 829, '10,7': 2, '11,7': 2, '12,7': 2, '13,7': 3, '14,7': 2, '15,7': 2, '0,8': 3, '1,8': 1, '2,8': 1, '5,8': 1, '9,8': 1, '13,8': 3, '14,8': 2, '15,8': 1, '0,9': 3, '1,9': 4, '2,9': 5, '3,9': 4, '4,9': 4, '5,9': 6, '6,9': 4, '7,9': 4, '8,9': 4, '9,9': 6, '10,9': 4, '11,9': 4, '12,9': 5, '13,9': 5, '14,9': 3, '15,9': 1}",49499,444.74,23088,0,0
main,high_load_6r_30t,high_load_6r_30t.json,29,baseline_priority,astar,1.0,greedy,priority_static,146,798,73.033,78,0,876,876,0,30,30,"{'T1': 25, 'T10': 37, 'T11': 45, 'T12': 50, 'T13': 60, 'T14': 75, 'T15': 73, 'T16': 80, 'T17': 73, 'T18': 88, 'T19': 94, 'T2': 31, 'T20': 104, 'T21': 88, 'T22': 92, 'T23': 97, 'T24': 114, 'T25': 118, 'T26': 134, 'T27': 112, 'T28': 116, 'T29': 114, 'T3': 13, 'T30': 131, 'T4': 18, 'T5': 18, 'T6': 25, 'T7': 51, 'T8': 60, 'T9': 55}",0.2055,0.5774,0.1155,"{'R1': 5, 'R2': 6, 'R3': 5, 'R4': 5, 'R5': 4, 'R6': 5}","{'0,0': 2, '1,0': 4, '2,0': 4, '3,0': 4, '4,0': 4, '5,0': 5, '6,0': 5, '7,0': 5, '8,0': 5, '9,0': 5, '10,0': 5, '11,0': 6, '12,0': 4, '13,0': 4, '14,0': 3, '15,0': 2, '0,1': 2, '1,1': 3, '2,1': 4, '3,1': 4, '5,1': 1, '11,1': 3, '13,1': 3, '14,1': 4, '15,1': 3, '0,2': 4, '1,2': 4, '2,2': 4, '3,2': 8, '4,2': 8, '5,2': 8, '6,2': 7, '7,2': 7, '8,2': 7, '9,2': 7, '10,2': 6, '11,2': 10, '12,2': 6, '13,2': 7, '14,2': 4, '15,2': 3, '0,3': 4, '1,3': 2, '9,3': 1, '11,3': 5, '13,3': 5, '14,3': 4, '15,3': 3, '0,4': 4, '1,4': 2, '9,4': 1, '11,4': 5, '13,4': 5, '14,4': 4, '15,4': 3, '0,5': 6, '1,5': 5, '2,5': 5, '3,5': 7, '4,5': 7, '5,5': 8, '6,5': 7, '7,5': 7, '8,5': 7, '9,5': 9, '10,5': 9, '11,5': 33, '12,5': 9, '13,5': 26, '14,5': 6, '15,5': 5, '0,6': 6, '1,6': 23, '5,6': 2, '7,6': 2, '9,6': 1, '11,6': 8, '13,6': 4, '14,6': 4, '15,6': 5, '0,7': 8, '1,7': 10, '2,7': 7, '3,7': 13, '4,7': 13, '5,7': 15, '6,7': 12, '7,7': 14, '8,7': 12, '9,7': 13, '10,7': 12, '11,7': 13, '12,7': 6, '13,7': 10, '14,7': 8, '15,7': 5, '0,8': 9, '1,8': 27, '2,8': 11, '3,8': 10, '5,8': 2, '7,8': 1, '9,8': 1, '11,8': 1, '13,8': 9, '14,8': 7, '15,8': 3, '0,9': 9, '1,9': 9, '2,9': 10, '3,9': 12, '4,9': 12, '5,9': 14, '6,9': 12, '7,9': 12, '8,9': 12, '9,9': 14, '10,9': 12, '11,9': 12, '12,9': 12, '13,9': 12, '14,9': 5, '15,9': 2}",14090,199.567,6609,0,0
main,high_load_6r_30t,high_load_6r_30t.json,29,coordinated,astar,1.0,greedy,full,145,788,71.867,82,0,870,870,0,30,30,"{'T1': 25, 'T10': 37, 'T11': 45, 'T12': 50, 'T13': 61, 'T14': 75, 'T15': 67, 'T16': 73, 'T17': 80, 'T18': 78, 'T19': 86, 'T2': 31, 'T20': 98, 'T21': 92, 'T22': 101, 'T23': 98, 'T24': 92, 'T25': 119, 'T26': 117, 'T27': 101, 'T28': 124, 'T29': 122, 'T3': 13, 'T30': 131, 'T4': 18, 'T5': 18, 'T6': 25, 'T7': 59, 'T8': 65, 'T9': 55}",0.2069,0.5774,0.1155,"{'R1': 5, 'R2': 5, 'R3': 6, 'R4': 5, 'R5': 4, 'R6': 5}","{'0,0': 2, '1,0': 4, '2,0': 4, '3,0': 7, '4,0': 8, '5,0': 8, '6,0': 5, '7,0': 5, '8,0': 5, '9,0': 5, '10,0': 4, '11,0': 5, '12,0': 3, '13,0': 3, '14,0': 3, '15,0': 2, '0,1': 2, '1,1': 4, '2,1': 5, '3,1': 4, '5,1': 1, '9,1': 1, '11,1': 4, '13,1': 2, '14,1': 4, '15,1': 3, '0,2': 4, '1,2': 4, '2,2': 3, '3,2': 5, '4,2': 5, '5,2': 5, '6,2': 5, '7,2': 5, '8,2': 5, '9,2': 6, '10,2': 6, '11,2': 11, '12,2': 4, '13,2': 5, '14,2': 4, '15,2': 3, '0,3': 4, '1,3': 2, '11,3': 7, '13,3': 4, '14,3': 4, '15,3': 3, '0,4': 4, '1,4': 2, '11,4': 8, '13,4': 5, '14,4': 4, '15,4': 3, '0,5': 6, '1,5': 4, '2,5': 5, '3,5': 8, '4,5': 8, '5,5': 9, '6,5': 8, '7,5': 8, '8,5': 8, '9,5': 10, '10,5': 22, '11,5': 20, '12,5': 11, '13,5': 20, '14,5': 6, '15,5': 4, '0,6': 6, '1,6': 2, '5,6': 3, '9,6': 2, '11,6': 36, '13,6': 6, '14,6': 5, '15,6': 4, '0,7': 23, '1,7': 7, '2,7': 5, '3,7': 12, '4,7': 12, '5,7': 15, '6,7': 12, '7,7': 12, '8,7': 11, '9,7': 14, '10,7': 12, '11,7': 16, '12,7': 6, '13,7': 11, '14,7': 9, '15,7': 5, '0,8': 9, '1,8': 17, '2,8': 10, '3,8': 8, '5,8': 1, '7,8': 1, '9,8': 1, '13,8': 8, '14,8': 7, '15,8': 3, '0,9': 10, '1,9': 12, '2,9': 12, '3,9': 11, '4,9': 11, '5,9': 13, '6,9': 11, '7,9': 11, '8,9': 11, '9,9': 13, '10,9': 11, '11,9': 11, '12,9': 12, '13,9': 12, '14,9': 6, '15,9': 2}",13453,192.292,6413,0,0
